goos: linux
goarch: amd64
pkg: github.com/puzpuzpuz/go-concurrent-map-bench
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkSyncMap_WarmUp_StringKeys/size=100/reads=100%-12         	1000000000	         1.990 ns/op	 502598429 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=1000000/reads=90%-12    	138923648	        26.72 ns/op	  37418508 ops/s	       4 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=1000000/reads=75%-12    	100000000	        30.93 ns/op	  32335159 ops/s	      10 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100/reads=100%-12            	1000000000	         2.037 ns/op	 490861645 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100/reads=99%-12             	1000000000	         2.855 ns/op	 350279450 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100/reads=90%-12             	463744578	         7.367 ns/op	 135743363 ops/s	       2 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100/reads=75%-12             	251019766	        13.38 ns/op	  74746578 ops/s	       7 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000/reads=100%-12           	1000000000	         2.079 ns/op	 480899611 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000/reads=99%-12            	1000000000	         2.787 ns/op	 358835661 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000/reads=90%-12            	705745050	         4.970 ns/op	 201214455 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000/reads=75%-12            	461286302	         7.672 ns/op	 130339494 ops/s	       8 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100000/reads=100%-12         	833335458	         4.291 ns/op	 233019827 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100000/reads=99%-12          	793311603	         4.636 ns/op	 215691363 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100000/reads=90%-12          	598053166	         6.095 ns/op	 164060618 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100000/reads=75%-12          	437735283	         8.152 ns/op	 122661976 ops/s	       9 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000000/reads=100%-12        	176899533	        20.19 ns/op	  49534701 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000000/reads=99%-12         	190329152	        17.84 ns/op	  56045343 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000000/reads=90%-12         	203757896	        17.05 ns/op	  58649001 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000000/reads=75%-12         	183878864	        19.84 ns/op	  50412331 ops/s	       9 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100/reads=99%-12           	961709107	         3.428 ns/op	 291674527 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100/reads=90%-12           	444600606	         7.543 ns/op	 132565384 ops/s	       2 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100/reads=75%-12           	261260301	        13.24 ns/op	  75527269 ops/s	       7 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000/reads=99%-12          	1000000000	         2.781 ns/op	 359623392 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000/reads=90%-12          	587933048	         5.224 ns/op	 191417192 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000/reads=75%-12          	446645878	         7.656 ns/op	 130617520 ops/s	       8 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100000/reads=99%-12        	763278424	         5.318 ns/op	 188025503 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100000/reads=90%-12        	547558734	         6.099 ns/op	 163952155 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100000/reads=75%-12        	428058670	         8.539 ns/op	 117110465 ops/s	       9 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000000/reads=99%-12       	597401834	        12.45 ns/op	  80329407 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000000/reads=90%-12       	231041319	        17.03 ns/op	  58728826 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000000/reads=75%-12       	191898529	        19.60 ns/op	  51019056 ops/s	       9 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100/reads=100%-12      	1000000000	         1.486 ns/op	 673065263 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100/reads=99%-12       	1000000000	         2.615 ns/op	 382460125 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100/reads=90%-12       	550960378	         5.986 ns/op	 167048737 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100/reads=75%-12       	339510685	        10.65 ns/op	  93897351 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000/reads=100%-12     	1000000000	         1.610 ns/op	 620972600 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000/reads=99%-12      	1000000000	         2.268 ns/op	 440912849 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000/reads=90%-12      	932813253	         3.687 ns/op	 271246890 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000/reads=75%-12      	637561088	         5.490 ns/op	 182147406 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100000/reads=100%-12   	1000000000	         3.116 ns/op	 320930174 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100000/reads=99%-12    	1000000000	         3.473 ns/op	 287917371 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100000/reads=90%-12    	807585738	         4.440 ns/op	 225200486 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100000/reads=75%-12    	616481991	         5.812 ns/op	 172059778 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000000/reads=100%-12  	229053600	        15.64 ns/op	  63918808 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000000/reads=99%-12   	232876962	        14.90 ns/op	  67121003 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000000/reads=90%-12   	237712515	        14.95 ns/op	  66906889 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000000/reads=75%-12   	218716695	        16.31 ns/op	  61321279 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100/reads=99%-12     	1000000000	         2.542 ns/op	 393414878 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100/reads=90%-12     	565244467	         6.001 ns/op	 166645642 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100/reads=75%-12     	326334750	         9.901 ns/op	 101004878 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000/reads=99%-12    	1000000000	         2.485 ns/op	 402338632 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000/reads=90%-12    	775518888	         4.648 ns/op	 215138299 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000/reads=75%-12    	481362496	         6.927 ns/op	 144359729 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100000/reads=99%-12  	1000000000	         3.643 ns/op	 274486370 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100000/reads=90%-12  	765230984	         5.507 ns/op	 181585149 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100000/reads=75%-12  	525176118	         6.774 ns/op	 147632693 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000000/reads=99%-12 	408622228	        10.95 ns/op	  91323035 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000000/reads=90%-12 	265687758	        14.84 ns/op	  67399350 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000000/reads=75%-12 	220999784	        17.09 ns/op	  58528382 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100/reads=100%-12         	1000000000	         0.9938 ns/op	1006287673 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100/reads=99%-12          	1000000000	         2.039 ns/op	 490382563 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100/reads=90%-12          	657735661	         4.931 ns/op	 202793431 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100/reads=75%-12          	391516053	         8.975 ns/op	 111414977 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000/reads=100%-12        	1000000000	         1.039 ns/op	 962646716 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000/reads=99%-12         	1000000000	         1.739 ns/op	 574964827 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000/reads=90%-12         	1000000000	         3.067 ns/op	 326068139 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000/reads=75%-12         	737876412	         4.736 ns/op	 211165945 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100000/reads=100%-12      	1000000000	         1.830 ns/op	 546327920 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100000/reads=99%-12       	1000000000	         2.283 ns/op	 438040445 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100000/reads=90%-12       	1000000000	         3.149 ns/op	 317595373 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100000/reads=75%-12       	816775282	         4.359 ns/op	 229407129 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000000/reads=100%-12     	590942337	         6.064 ns/op	 164916623 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000000/reads=99%-12      	567902560	         5.784 ns/op	 172899232 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000000/reads=90%-12      	571631056	         6.074 ns/op	 164635829 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000000/reads=75%-12      	503961459	         7.075 ns/op	 141348570 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100/reads=99%-12        	1000000000	         2.055 ns/op	 486693328 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100/reads=90%-12        	647255086	         4.930 ns/op	 202832763 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100/reads=75%-12        	385047561	         8.723 ns/op	 114643748 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000/reads=99%-12       	1000000000	         1.873 ns/op	 533842900 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000/reads=90%-12       	911994100	         3.606 ns/op	 277294938 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000/reads=75%-12       	639026637	         6.235 ns/op	 160383087 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100000/reads=99%-12     	1000000000	         2.477 ns/op	 403668435 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100000/reads=90%-12     	971363593	         3.737 ns/op	 267573230 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100000/reads=75%-12     	720239852	         5.445 ns/op	 183658097 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000000/reads=99%-12    	1000000000	         3.830 ns/op	 261118892 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000000/reads=90%-12    	742073161	         5.575 ns/op	 179373670 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000000/reads=75%-12    	524108060	         6.925 ns/op	 144407546 ops/s	       2 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=100/reads=100%-12  	1000000000	         5.157 ns/op	 193909124 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=100/reads=99%-12   	936290563	         3.857 ns/op	 259257161 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=100/reads=90%-12   	490522390	        11.43 ns/op	  87482569 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=100/reads=75%-12   	180108805	        25.23 ns/op	  39639174 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=1000/reads=100%-12 	648265669	         5.570 ns/op	 179519418 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=1000/reads=99%-12  	538819392	         7.582 ns/op	 131899940 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=1000/reads=90%-12  	310728207	        12.06 ns/op	  82926424 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=1000/reads=75%-12  	211376678	        21.89 ns/op	  45682581 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=100/reads=99%-12 	480155295	         7.406 ns/op	 135033603 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=100/reads=90%-12 	222599371	        16.76 ns/op	  59681796 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=100/reads=75%-12 	142447569	        24.57 ns/op	  40705038 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=1000/reads=99%-12         	466323369	         7.558 ns/op	 132317839 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=1000/reads=90%-12         	300002029	        12.00 ns/op	  83300037 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=1000/reads=75%-12         	144611992	        22.91 ns/op	  43649778 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=100/reads=100%-12              	1000000000	         3.385 ns/op	 295457195 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=100/reads=99%-12               	1000000000	         2.916 ns/op	 342926373 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=100/reads=90%-12               	359677446	        10.18 ns/op	  98183904 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=100/reads=75%-12               	196774710	        18.47 ns/op	  54130195 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=1000/reads=100%-12             	1000000000	         1.509 ns/op	 662725780 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=1000/reads=99%-12              	689244765	         5.262 ns/op	 190058082 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=1000/reads=90%-12              	344122023	        13.94 ns/op	  71735896 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=1000/reads=75%-12              	156053972	        24.17 ns/op	  41372442 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=100/reads=99%-12             	1000000000	         6.185 ns/op	 161681116 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=100/reads=90%-12             	339681932	        14.73 ns/op	  67890307 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=100/reads=75%-12             	192537307	        20.08 ns/op	  49805119 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=1000/reads=99%-12            	1000000000	         3.034 ns/op	 329584335 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=1000/reads=90%-12            	487672184	        10.57 ns/op	  94598692 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=1000/reads=75%-12            	181745252	        19.78 ns/op	  50558628 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100/reads=100%-12                   	1000000000	         2.275 ns/op	 439506322 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100/reads=99%-12                    	521373621	        10.47 ns/op	  95498280 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100/reads=90%-12                    	183514302	        19.44 ns/op	  51428843 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100/reads=75%-12                    	120249940	        29.82 ns/op	  33533285 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000/reads=100%-12                  	1000000000	         2.467 ns/op	 405335912 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000/reads=99%-12                   	761873104	         5.004 ns/op	 199846409 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000/reads=90%-12                   	225623607	        15.53 ns/op	  64378679 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000/reads=75%-12                   	142482883	        26.74 ns/op	  37391296 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100000/reads=100%-12                	764477648	         4.702 ns/op	 212688380 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100000/reads=99%-12                 	492394782	         7.357 ns/op	 135924909 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100000/reads=90%-12                 	206241358	        17.47 ns/op	  57238458 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100000/reads=75%-12                 	100000000	        30.91 ns/op	  32351095 ops/s	       3 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000000/reads=100%-12               	156690739	        22.84 ns/op	  43773917 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000000/reads=99%-12                	139622912	        26.50 ns/op	  37733796 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000000/reads=90%-12                	100000000	        32.86 ns/op	  30430822 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000000/reads=75%-12                	84598152	        42.29 ns/op	  23645984 ops/s	       3 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100/reads=99%-12                  	627294207	         9.879 ns/op	 101220806 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100/reads=90%-12                  	186130959	        19.54 ns/op	  51165789 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100/reads=75%-12                  	120798182	        29.98 ns/op	  33350248 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000/reads=99%-12                 	761394873	         4.960 ns/op	 201599619 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000/reads=90%-12                 	212372080	        16.29 ns/op	  61378081 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000/reads=75%-12                 	159599197	        27.92 ns/op	  35820738 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100000/reads=99%-12               	521972089	         6.988 ns/op	 143099582 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100000/reads=90%-12               	215448522	        17.08 ns/op	  58540349 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100000/reads=75%-12               	120102436	        30.35 ns/op	  32948466 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000000/reads=99%-12              	200590970	        20.32 ns/op	  49209437 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000000/reads=90%-12              	100000000	        30.62 ns/op	  32657436 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000000/reads=75%-12              	100000000	        43.89 ns/op	  22786534 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100/reads=100%-12                      	1000000000	         1.273 ns/op	 785673328 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100/reads=99%-12                       	604812010	        11.05 ns/op	  90484571 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100/reads=90%-12                       	162287335	        22.45 ns/op	  44542003 ops/s	       1 B/op	       0 allocs/op
