goos: linux
goarch: amd64
pkg: github.com/puzpuzpuz/go-concurrent-map-bench
cpu: AMD Ryzen 9 7900 12-Core Processor             
BenchmarkSyncMap_WarmUp_StringKeys/size=100/reads=100%-8         	1000000000	         3.253 ns/op	 307364380 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=1000000/reads=100%-8     	76911998	        45.19 ns/op	  22126487 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=1000000/reads=99%-8      	76368547	        43.37 ns/op	  23057690 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=1000000/reads=90%-8      	87539930	        40.50 ns/op	  24688963 ops/s	       4 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_StringKeys/size=1000000/reads=75%-8      	80240160	        44.96 ns/op	  22243748 ops/s	      10 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=100/reads=99%-8        	836845584	         4.385 ns/op	 228060730 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=100/reads=90%-8        	404811704	         9.221 ns/op	 108447798 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=100/reads=75%-8        	232730238	        14.09 ns/op	  70987817 ops/s	       8 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=1000/reads=99%-8       	720044313	         4.769 ns/op	 209694569 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=1000/reads=90%-8       	485651340	         7.311 ns/op	 136774455 ops/s	       4 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=1000/reads=75%-8       	329428105	        10.53 ns/op	  94922122 ops/s	      10 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=100000/reads=99%-8     	446866209	         9.148 ns/op	 109319412 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=100000/reads=90%-8     	331342227	        10.86 ns/op	  92108190 ops/s	       4 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=100000/reads=75%-8     	252423669	        14.46 ns/op	  69168990 ops/s	      10 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=1000000/reads=99%-8    	157152902	        25.72 ns/op	  38875505 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=1000000/reads=90%-8    	100000000	        37.80 ns/op	  26457730 ops/s	       4 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_StringKeys/size=1000000/reads=75%-8    	100000000	        43.43 ns/op	  23026745 ops/s	      10 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100/reads=100%-8            	1000000000	         2.513 ns/op	 397944496 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100/reads=99%-8             	921765512	         3.627 ns/op	 275739010 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100/reads=90%-8             	410489053	         7.837 ns/op	 127602702 ops/s	       2 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100/reads=75%-8             	263370024	        13.00 ns/op	  76930515 ops/s	       7 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000/reads=100%-8           	1000000000	         2.982 ns/op	 335368150 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000/reads=99%-8            	928326961	         3.870 ns/op	 258410140 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000/reads=90%-8            	545048982	         6.441 ns/op	 155257604 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000/reads=75%-8            	377312228	         9.287 ns/op	 107680914 ops/s	       8 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100000/reads=100%-8         	591398817	         6.050 ns/op	 165294696 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100000/reads=99%-8          	557382054	         6.458 ns/op	 154843813 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100000/reads=90%-8          	424919349	         8.439 ns/op	 118503075 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=100000/reads=75%-8          	327401317	        11.18 ns/op	  89412064 ops/s	       9 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000000/reads=100%-8        	100000000	        30.28 ns/op	  33025169 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000000/reads=99%-8         	128340746	        28.20 ns/op	  35467157 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000000/reads=90%-8         	141706568	        25.15 ns/op	  39766080 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_WarmUp_IntKeys/size=1000000/reads=75%-8         	126502432	        28.20 ns/op	  35455370 ops/s	       9 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100/reads=99%-8           	872366706	         3.964 ns/op	 252300279 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100/reads=90%-8           	436166398	         8.599 ns/op	 116292219 ops/s	       2 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100/reads=75%-8           	267233077	        12.73 ns/op	  78555888 ops/s	       6 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000/reads=99%-8          	889284549	         4.404 ns/op	 227048334 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000/reads=90%-8          	519522238	         6.816 ns/op	 146715591 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000/reads=75%-8          	381663525	         9.308 ns/op	 107439032 ops/s	       8 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100000/reads=99%-8        	583900381	         6.821 ns/op	 146606506 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100000/reads=90%-8        	424522089	         8.883 ns/op	 112578052 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=100000/reads=75%-8        	316665609	        11.40 ns/op	  87756881 ops/s	       9 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000000/reads=99%-8       	404908677	        16.48 ns/op	  60686007 ops/s	       0 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000000/reads=90%-8       	156759008	        22.69 ns/op	  44064216 ops/s	       3 B/op	       0 allocs/op
BenchmarkSyncMap_NoWarmUp_IntKeys/size=1000000/reads=75%-8       	134167222	        28.02 ns/op	  35690654 ops/s	       9 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100/reads=100%-8      	1000000000	         2.152 ns/op	 464663070 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100/reads=99%-8       	1000000000	         3.476 ns/op	 287687766 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100/reads=90%-8       	506633541	         6.360 ns/op	 157240963 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100/reads=75%-8       	321869322	         9.990 ns/op	 100103777 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000/reads=100%-8     	1000000000	         2.241 ns/op	 446262210 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000/reads=99%-8      	1000000000	         3.160 ns/op	 316474240 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000/reads=90%-8      	721127139	         4.893 ns/op	 204386569 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000/reads=75%-8      	514504863	         6.864 ns/op	 145697790 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100000/reads=100%-8   	799337043	         4.496 ns/op	 222399853 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100000/reads=99%-8    	713805448	         4.946 ns/op	 202198893 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100000/reads=90%-8    	577397815	         6.166 ns/op	 162172968 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=100000/reads=75%-8    	458507968	         7.778 ns/op	 128567299 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000000/reads=100%-8  	157060318	        23.15 ns/op	  43198158 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000000/reads=99%-8   	159738886	        22.16 ns/op	  45118680 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000000/reads=90%-8   	162356323	        21.79 ns/op	  45895296 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_StringKeys/size=1000000/reads=75%-8   	150823720	        23.74 ns/op	  42124098 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100/reads=99%-8     	1000000000	         3.474 ns/op	 287820238 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100/reads=90%-8     	515554215	         6.439 ns/op	 155308329 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100/reads=75%-8     	329650026	        10.50 ns/op	  95245347 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000/reads=99%-8    	1000000000	         3.440 ns/op	 290673154 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000/reads=90%-8    	643019766	         5.453 ns/op	 183401352 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000/reads=75%-8    	445344501	         8.090 ns/op	 123605444 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100000/reads=99%-8  	672491131	         5.147 ns/op	 194297475 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100000/reads=90%-8  	524206844	         6.502 ns/op	 153803831 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=100000/reads=75%-8  	409391028	         8.795 ns/op	 113704360 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000000/reads=99%-8 	277560626	        15.13 ns/op	  66106554 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000000/reads=90%-8 	183057907	        20.08 ns/op	  49791426 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_StringKeys/size=1000000/reads=75%-8 	153976186	        23.58 ns/op	  42416813 ops/s	       3 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100/reads=100%-8         	1000000000	         1.425 ns/op	 701925098 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100/reads=99%-8          	1000000000	         2.702 ns/op	 370046599 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100/reads=90%-8          	618478455	         5.396 ns/op	 185311085 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100/reads=75%-8          	408411333	         8.898 ns/op	 112388699 ops/s	       1 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000/reads=100%-8        	1000000000	         1.511 ns/op	 661954161 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000/reads=99%-8         	1000000000	         2.403 ns/op	 416116133 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000/reads=90%-8         	862930881	         3.997 ns/op	 250159417 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000/reads=75%-8         	640204921	         5.618 ns/op	 178001099 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100000/reads=100%-8      	1000000000	         2.581 ns/op	 387463379 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100000/reads=99%-8       	1000000000	         3.225 ns/op	 310042211 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100000/reads=90%-8       	824089988	         4.329 ns/op	 231026169 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=100000/reads=75%-8       	624874474	         5.685 ns/op	 175903096 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000000/reads=100%-8     	390132966	         9.140 ns/op	 109410604 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000000/reads=99%-8      	374026675	         8.947 ns/op	 111769210 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000000/reads=90%-8      	379375974	         9.052 ns/op	 110471512 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_WarmUp_IntKeys/size=1000000/reads=75%-8      	342462121	        10.20 ns/op	  98042802 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100/reads=99%-8        	1000000000	         2.656 ns/op	 376490266 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100/reads=90%-8        	584666862	         5.715 ns/op	 174983743 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100/reads=75%-8        	397095250	         8.984 ns/op	 111305132 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000/reads=99%-8       	1000000000	         2.512 ns/op	 398086690 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000/reads=90%-8       	777089035	         4.694 ns/op	 213023427 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000/reads=75%-8       	512267889	         6.305 ns/op	 158592579 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100000/reads=99%-8     	1000000000	         3.502 ns/op	 285556399 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100000/reads=90%-8     	766367020	         4.683 ns/op	 213523904 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=100000/reads=75%-8     	482859968	         6.659 ns/op	 150177487 ops/s	       2 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000000/reads=99%-8    	1000000000	         5.690 ns/op	 175747207 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000000/reads=90%-8    	521389874	         8.209 ns/op	 121819840 ops/s	       0 B/op	       0 allocs/op
BenchmarkXsyncMapOf_NoWarmUp_IntKeys/size=1000000/reads=75%-8    	381833906	         9.901 ns/op	 101000432 ops/s	       2 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=100/reads=100%-8  	1000000000	         3.183 ns/op	 314189464 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=100/reads=99%-8   	728479185	         4.950 ns/op	 202035512 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=100/reads=90%-8   	273063990	        13.82 ns/op	  72377208 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=100/reads=75%-8   	150940855	        23.59 ns/op	  42392718 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=1000/reads=100%-8 	1000000000	         3.445 ns/op	 290287847 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=1000/reads=99%-8  	659060803	         5.269 ns/op	 189774659 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=1000/reads=90%-8  	260157942	        14.35 ns/op	  69672210 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_StringKeys/size=1000/reads=75%-8  	144816663	        25.90 ns/op	  38617422 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=100/reads=99%-8 	342198038	        10.41 ns/op	  96094754 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=100/reads=90%-8 	266665465	        13.37 ns/op	  74790071 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=100/reads=75%-8 	100000000	        30.13 ns/op	  33190928 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=1000/reads=99%-8         	692925775	        11.85 ns/op	  84368070 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=1000/reads=90%-8         	255780580	        19.56 ns/op	  51127654 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_StringKeys/size=1000/reads=75%-8         	148194694	        25.90 ns/op	  38612797 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=100/reads=100%-8              	1000000000	         1.812 ns/op	 551895376 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=100/reads=99%-8               	413089784	         8.415 ns/op	 118836923 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=100/reads=90%-8               	207002638	        17.61 ns/op	  56796102 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=100/reads=75%-8               	175069140	        22.22 ns/op	  45008416 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=1000/reads=100%-8             	1000000000	         2.137 ns/op	 468050212 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=1000/reads=99%-8              	918161563	         3.906 ns/op	 256030214 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=1000/reads=90%-8              	222434479	        16.25 ns/op	  61528790 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_WarmUp_IntKeys/size=1000/reads=75%-8              	167117725	        21.92 ns/op	  45620098 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=100/reads=99%-8             	990383521	         8.688 ns/op	 115098129 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=100/reads=90%-8             	205630522	        17.43 ns/op	  57373396 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=100/reads=75%-8             	137931360	        27.28 ns/op	  36651580 ops/s	       4 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=1000/reads=99%-8            	906880432	         3.862 ns/op	 258940258 ops/s	       0 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=1000/reads=90%-8            	307678743	        11.90 ns/op	  83999897 ops/s	       1 B/op	       0 allocs/op
BenchmarkCornelkHashmap_NoWarmUp_IntKeys/size=1000/reads=75%-8            	167194550	        21.97 ns/op	  45507869 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100/reads=100%-8                   	1000000000	         3.242 ns/op	 308450046 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100/reads=99%-8                    	454334684	        13.01 ns/op	  76887138 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100/reads=90%-8                    	162943856	        24.87 ns/op	  40211297 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100/reads=75%-8                    	100000000	        31.31 ns/op	  31943366 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000/reads=100%-8                  	1000000000	         3.525 ns/op	 283700833 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000/reads=99%-8                   	549810781	         6.717 ns/op	 148879004 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000/reads=90%-8                   	195846151	        18.14 ns/op	  55140588 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000/reads=75%-8                   	123331917	        29.15 ns/op	  34305982 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100000/reads=100%-8                	530202865	         6.719 ns/op	 148832552 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100000/reads=99%-8                 	366277077	         9.880 ns/op	 101213135 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100000/reads=90%-8                 	180098858	        20.03 ns/op	  49933955 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=100000/reads=75%-8                 	100000000	        33.87 ns/op	  29524210 ops/s	       3 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000000/reads=100%-8               	98217528	        33.77 ns/op	  29613370 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000000/reads=99%-8                	95165620	        38.11 ns/op	  26238245 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000000/reads=90%-8                	82847133	        45.26 ns/op	  22093388 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_StringKeys/size=1000000/reads=75%-8                	67806336	        54.69 ns/op	  18285191 ops/s	       3 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100/reads=99%-8                  	524656173	        10.98 ns/op	  91104672 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100/reads=90%-8                  	144733153	        24.64 ns/op	  40589618 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100/reads=75%-8                  	100000000	        31.42 ns/op	  31825876 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000/reads=99%-8                 	578798844	         6.328 ns/op	 158025702 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000/reads=90%-8                 	190234011	        18.54 ns/op	  53939126 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000/reads=75%-8                 	121863298	        31.35 ns/op	  31893541 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100000/reads=99%-8               	380496928	         9.500 ns/op	 105258218 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100000/reads=90%-8               	181091838	        19.92 ns/op	  50206969 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=100000/reads=75%-8               	100000000	        32.56 ns/op	  30707887 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000000/reads=99%-8              	134139242	        27.93 ns/op	  35799071 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000000/reads=90%-8              	100000000	        41.85 ns/op	  23897395 ops/s	       1 B/op	       0 allocs/op
BenchmarkHaxmap_NoWarmUp_StringKeys/size=1000000/reads=75%-8              	100000000	        52.53 ns/op	  19035245 ops/s	       4 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100/reads=100%-8                      	1000000000	         1.811 ns/op	 552199005 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100/reads=99%-8                       	589762640	        11.64 ns/op	  85943669 ops/s	       0 B/op	       0 allocs/op
BenchmarkHaxmap_WarmUp_IntKeys/size=100/reads=90%-8                       	131034446	        28.06 ns/op	  35633536 ops/s	       1 B/op	       0 allocs/op
